OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
893869,a43343f0,2/6/2015 21:00,Friday,Feb,6,2015,21,2,6,2015,FELONY ASSAULT,FELONY,G,46,BRONX,N.Y. POLICE DEPT,1011698,251174,"(40.8560550510001, -73.900779259)"
893881,ae5bcc3d,2/6/2015 22:15,Friday,Feb,6,2015,22,2,7,2015,FELONY ASSAULT,FELONY,F,69,BROOKLYN,N.Y. HOUSING POLICE,1015226,169825,"(40.6327610000001, -73.8884004889999)"
893882,6affbc80,2/6/2015 22:15,Friday,Feb,6,2015,22,2,6,2015,ROBBERY,FELONY,F,72,BROOKLYN,N.Y. POLICE DEPT,980596,173936,"(40.644098221, -74.01316838)"
893883,16987b27,2/6/2015 22:15,Friday,Feb,6,2015,22,2,6,2015,FELONY ASSAULT,FELONY,E,109,QUEENS,N.Y. POLICE DEPT,1031592,214419,"(40.755088626, -73.8291234559999)"
893885,62d04d35,2/6/2015 22:35,Friday,Feb,6,2015,22,2,6,2015,FELONY ASSAULT,FELONY,E,61,BROOKLYN,N.Y. HOUSING POLICE,1001791,155777,"(40.594238933, -73.936840843)"
894152,4088da8c,2/6/2015 23:00,Friday,Feb,6,2015,23,2,7,2015,BURGLARY,FELONY,G,40,BRONX,N.Y. POLICE DEPT,1005759,237459,"(40.8184278250001, -73.922292208)"
894153,1e3085c2,2/6/2015 23:01,Friday,Feb,6,2015,23,2,7,2015,ROBBERY,FELONY,F,52,BRONX,N.Y. POLICE DEPT,1013557,254990,"(40.8665228410001, -73.894042452)"
894156,e3d8fa90,2/6/2015 23:30,Friday,Feb,6,2015,23,2,7,2015,FELONY ASSAULT,FELONY,F,115,QUEENS,N.Y. POLICE DEPT,1013978,212126,"(40.7488716880001, -73.892710144)"
894158,c1b5a157,2/6/2015 23:30,Friday,Feb,6,2015,23,2,7,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,10,MANHATTAN,N.Y. POLICE DEPT,984753,214362,"(40.755058896, -73.998185904)"
894161,db24b64d,2/6/2015 23:45,Friday,Feb,6,2015,23,2,7,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,90,BROOKLYN,N.Y. POLICE DEPT,999023,194371,"(40.7001761490001, -73.946723176)"
894666,83efcc76,12/6/2015 0:00,Sunday,Dec,6,2015,0,12,8,2015,GRAND LARCENY,FELONY,G,61,BROOKLYN,N.Y. POLICE DEPT,994330,154559,"(40.5909073920001, -73.9637077849999)"
894670,6949518c,12/6/2015 0:01,Sunday,Dec,6,2015,0,12,6,2015,FELONY ASSAULT,FELONY,E,40,BRONX,N.Y. HOUSING POLICE,1009915,237458,"(40.8184139840001, -73.9072771309999)"
894944,58cd2c40,12/6/2015 1:00,Sunday,Dec,6,2015,1,12,6,2015,FELONY ASSAULT,FELONY,E,71,BROOKLYN,N.Y. POLICE DEPT,998069,181177,"(40.663963161, -73.950190796)"
894949,6816bb40,12/6/2015 1:00,Sunday,Dec,6,2015,1,12,6,2015,GRAND LARCENY,FELONY,E,14,MANHATTAN,N.Y. POLICE DEPT,989487,214741,"(40.7560976180001, -73.98109855)"
894950,ed5dca09,12/6/2015 1:00,Sunday,Dec,6,2015,1,12,6,2015,ROBBERY,FELONY,G,41,BRONX,N.Y. POLICE DEPT,1013033,238140,"(40.820276273, -73.8960092849999)"
