OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
887328,6b880dfd,11/12/2015 7:40,Thursday,Nov,12,2015,7,11,12,2015,ROBBERY,FELONY,B,7,MANHATTAN,N.Y. POLICE DEPT,987063,200867,"(40.718018016, -73.989853753)"
887329,e827736d,11/12/2015 7:48,Thursday,Nov,12,2015,7,11,12,2015,ROBBERY,FELONY,B,14,MANHATTAN,N.Y. POLICE DEPT,990191,213904,"(40.753799821, -73.978558209)"
887333,7336c5dd,11/12/2015 8:00,Thursday,Nov,12,2015,8,11,12,2015,BURGLARY,FELONY,C,67,BROOKLYN,N.Y. POLICE DEPT,1004500,180655,"(40.662518015, -73.927011804)"
887334,2a8b5764,11/12/2015 8:00,Thursday,Nov,12,2015,8,11,12,2015,BURGLARY,FELONY,C,73,BROOKLYN,N.Y. POLICE DEPT,1006334,185589,"(40.6760563560001, -73.9203851249999)"
887377,9e990ed7,1/7/2015 22:00,Wednesday,Jan,7,2015,22,1,7,2015,FELONY ASSAULT,FELONY,C,47,BRONX,N.Y. POLICE DEPT,1025232,260096,"(40.880490744, -73.8518005079999)"
887380,4698d256,1/7/2015 22:40,Wednesday,Jan,7,2015,22,1,7,2015,ROBBERY,FELONY,B,114,QUEENS,N.Y. POLICE DEPT,1013550,219961,"(40.770378173, -73.894220691)"
887385,489cca26,1/7/2015 23:00,Wednesday,Jan,7,2015,23,1,8,2015,BURGLARY,FELONY,A,115,QUEENS,N.Y. POLICE DEPT,1020883,216845,"(40.761798222, -73.867763638)"
887388,8a6dc4b2,1/7/2015 23:20,Wednesday,Jan,7,2015,23,1,8,2015,BURGLARY,FELONY,B,75,BROOKLYN,N.Y. POLICE DEPT,1017256,188680,"(40.6845064600001, -73.880994487)"
887393,32db0d76,1/10/2015 0:01,Saturday,Jan,10,2015,0,2,2,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,113,QUEENS,PORT AUTHORITY,1046367,186986,"(40.679700408, -73.776047368)"
887394,1d3a4b39,1/10/2015 0:15,Saturday,Jan,10,2015,0,1,10,2015,GRAND LARCENY,FELONY,B,78,BROOKLYN,N.Y. POLICE DEPT,988610,186251,"(40.6778998670001, -73.984282521)"
887598,a08428b6,11/12/2015 8:00,Thursday,Nov,12,2015,8,11,14,2015,BURGLARY,FELONY,B,110,QUEENS,N.Y. POLICE DEPT,1015921,207523,"(40.736230864, -73.8857193439999)"
887599,e5d5903d,11/12/2015 8:00,Thursday,Nov,12,2015,8,11,12,2015,ROBBERY,FELONY,A,18,MANHATTAN,N.Y. POLICE DEPT,990990,214354,"(40.7550343840001, -73.975673875)"
887602,fa0644a0,11/12/2015 8:00,Thursday,Nov,12,2015,8,11,12,2015,GRAND LARCENY,FELONY,C,48,BRONX,N.Y. POLICE DEPT,1012605,246785,"(40.8440056840001, -73.897519095)"
887603,2fe3fb68,11/12/2015 8:00,Thursday,Nov,12,2015,8,11,12,2015,BURGLARY,FELONY,B,48,BRONX,N.Y. POLICE DEPT,1015272,250439,"(40.8540258630001, -73.8878629659999)"
887605,9d56a562,11/12/2015 8:40,Thursday,Nov,12,2015,8,11,12,2015,BURGLARY,FELONY,A,70,BROOKLYN,N.Y. POLICE DEPT,995736,164493,"(40.6181724890001, -73.958628504)"
887607,335fa34b,11/12/2015 8:50,Thursday,Nov,12,2015,8,11,12,2015,ROBBERY,FELONY,A,47,BRONX,N.Y. POLICE DEPT,1021007,248286,"(40.848094508, -73.867143891)"
887608,8e20b7b,11/12/2015 9:00,Thursday,Nov,12,2015,9,11,12,2015,BURGLARY,FELONY,C,68,BROOKLYN,N.Y. POLICE DEPT,981730,169359,"(40.631535726, -74.009080379)"
887609,fdee11b1,11/12/2015 9:00,Thursday,Nov,12,2015,9,12,15,2015,GRAND LARCENY,FELONY,A,67,BROOKLYN,N.Y. POLICE DEPT,999639,174120,"(40.6445906480001, -73.944547826)"
887610,e210f545,11/12/2015 9:00,Thursday,Nov,12,2015,9,11,13,2015,GRAND LARCENY,FELONY,C,10,MANHATTAN,N.Y. POLICE DEPT,982992,210566,"(40.744639755, -74.004541406)"
887616,4256665c,11/12/2015 9:30,Thursday,Nov,12,2015,9,11,12,2015,GRAND LARCENY,FELONY,C,1,MANHATTAN,N.Y. POLICE DEPT,981331,196505,"(40.706045327, -74.0105296369999)"
887670,47e91a0f,1/10/2015 1:30,Saturday,Jan,10,2015,1,1,10,2015,ROBBERY,FELONY,B,62,BROOKLYN,N.Y. POLICE DEPT,991684,158964,"(40.6030008440001, -73.9732300219999)"
887671,79777a4d,1/10/2015 1:30,Saturday,Jan,10,2015,1,1,10,2015,GRAND LARCENY,FELONY,C,68,BROOKLYN,N.Y. POLICE DEPT,979778,167868,"(40.6274424740001, -74.0161119639999)"
887672,813de453,1/10/2015 1:30,Saturday,Jan,10,2015,1,1,10,2015,GRAND LARCENY,FELONY,C,107,QUEENS,N.Y. POLICE DEPT,1039049,199566,"(40.714277827, -73.802328942)"
887676,3730715e,1/10/2015 2:00,Saturday,Jan,10,2015,2,1,10,2015,RAPE,FELONY,B,113,QUEENS,N.Y. POLICE DEPT,1046367,186986,"(40.679700408, -73.776047368)"
887677,49165f77,1/10/2015 2:15,Saturday,Jan,10,2015,2,1,13,2015,FELONY ASSAULT,FELONY,B,77,BROOKLYN,N.Y. POLICE DEPT,995383,187055,"(40.6801007390001, -73.959862786)"
887678,5dd17e8e,1/10/2015 2:20,Saturday,Jan,10,2015,2,1,10,2015,FELONY ASSAULT,FELONY,B,103,QUEENS,N.Y. POLICE DEPT,1042373,198127,"(40.7103069130001, -73.7903509829999)"
887883,56ae47ae,11/12/2015 10:00,Thursday,Nov,12,2015,10,12,4,2015,GRAND LARCENY,FELONY,B,34,MANHATTAN,N.Y. POLICE DEPT,1001935,248909,"(40.8498632530001, -73.9360776359999)"
887894,47406c2e,11/12/2015 10:30,Thursday,Nov,12,2015,10,11,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,107,QUEENS,N.Y. POLICE DEPT,1035140,198991,"(40.71272294, -73.816433901)"
887897,1d3344d5,11/12/2015 10:30,Thursday,Nov,12,2015,10,11,12,2015,GRAND LARCENY,FELONY,C,14,MANHATTAN,N.Y. POLICE DEPT,986650,212527,"(40.7500219730001, -73.991339463)"
887898,3b71ccaa,11/12/2015 10:30,Thursday,Nov,12,2015,10,11,12,2015,BURGLARY,FELONY,C,109,QUEENS,N.Y. POLICE DEPT,1031054,213590,"(40.7528161000001, -73.8310711)"
